text,clean_text,true_label,svm_pred,lr_pred,bert_pred,ensemble_pred,ensemble_correct
I'm convinced that Trump won't be inaugurated on Jan. 20.  The #Electoralcollege is mounting a resistance/,convinced that trump won be inaugurated on jan the electoralcollege is mounting resistance,Negative,Negative,Negative,Neutral,Neutral,False
if insert coin sells persona 5 gear thats nice and not super garish im dropping so much coin on it,if insert coin sells persona gear thats nice and not super garish im dropping so much coin on it,Neutral,Positive,Neutral,Neutral,Neutral,True
YAAY @user !! You fought for us; we are fighting for you! #StillWithHer!!,yaay you fought for us we are fighting for you stillwithher,Positive,Positive,Positive,Positive,Positive,True
I liked a @user video from @user The Randi Show - Dr. Oz and Homeopathy,liked video from the randi show dr oz and homeopathy,Positive,Positive,Positive,Positive,Positive,True
"SICK PAPAL BEAST Pope Francis takes this SICK oath. HOW SICK DOES ONE HAVE TO BE TO BE THE MAN OF SIN""…",sick papal beast pope francis takes this sick oath how sick does one have to be to be the man of sin,Negative,Negative,Negative,Negative,Negative,True
"@user Have a listen, these are the feelings of the deplorables. You didn't hear us during the campaign when…",have listen these are the feelings of the deplorables you didn hear us during the campaign when,Negative,Neutral,Negative,Negative,Negative,True
Has Ben Carson accepted the HUD job or are we still fucking around on this reality TV show?,has ben carson accepted the hud job or are we still fucking around on this reality tv show,Negative,Neutral,Negative,Negative,Negative,True
"¡¡HAPPY FRIDAY, BITCHES!! 💋👑 #ScreamQueens",happy friday bitches screamqueens,Positive,Positive,Positive,Positive,Positive,True
"which is why this president deserved to be hers. she carried weight for the clinton admin., weight for the obama admin., and it was her turn",which is why this president deserved to be hers she carried weight for the clinton admin weight for the obama admin and it was her turn,Positive,Negative,Negative,Positive,Positive,True
"I can and will fight for #BlackLivesMatter . However, I am white. I never will be turned down for a job because of my skin tone.4/?",can and will fight for blacklivesmatter however am white never will be turned down for job because of my skin tone,Positive,Neutral,Negative,Negative,Negative,False
.@DavidCornDC @user what about all the voter suppression laws? Heard lots of provisional ballots used but not counted,what about all the voter suppression laws heard lots of provisional ballots used but not counted,Negative,Neutral,Negative,Neutral,Neutral,False
"But looked what happened when Comey helped.If he's an accomplice through ignorance, is he still a traitor?",but looked what happened when comey helped if he an accomplice through ignorance is he still traitor,Negative,Negative,Negative,Negative,Negative,True
2016 World Series Champions - Chicago Cubs~ Major League Baseballhttps://t.co/tFkcE4XzImSports & Outdoors,world series champions chicago cubs major league baseball outdoors,Neutral,Neutral,Neutral,Neutral,Neutral,True
The The Orlando #Python User Group meetup is hosting the Deep Learning with #Python on Monday after next. Be there:,the the orlando python user group meetup is hosting the deep learning with python on monday after next be there,Positive,Positive,Neutral,Positive,Positive,True
3D Printing Replacement Bands with Clasps for Fitbit,printing replacement bands with clasps for fitbit,Neutral,Neutral,Neutral,Neutral,Neutral,True
Muhammad Ali. Best fighty punchy guy ever.,muhammad ali best fighty punchy guy ever,Positive,Neutral,Positive,Positive,Positive,True
"arbys launching a social campaign against vegetarianism seems like a shit marketing decision, remember this tweet if they end up a casestudy",arbys launching social campaign against vegetarianism seems like shit marketing decision remember this tweet if they end up casestudy,Negative,Neutral,Negative,Negative,Negative,True
Closer co-operation between #Russia advisers & #Hezbollah in #Aleppo would seem to indicate Schwerpunkt to crack jihadi defences identified.,closer co operation between russia advisers hezbollah in aleppo would seem to indicate schwerpunkt to crack jihadi defences identified,Neutral,Neutral,Neutral,Neutral,Neutral,True
It is a disgrace if any MP tries to play around with the will of the people over Brexit:,it is disgrace if any mp tries to play around with the will of the people over brexit,Negative,Negative,Neutral,Negative,Negative,True
Animal testing should not be a thing,animal testing should not be thing,Negative,Negative,Negative,Negative,Negative,True
"When princess Emma says, ""put on the tiara"",.....I put on the tiara. 😝 #lovethisgirl #puddyinherhands…",when princess emma says put on the tiara put on the tiara lovethisgirl puddyinherhands,Positive,Positive,Neutral,Positive,Positive,True
"Oh the Westworld finale is a feature-length film?Cool.**pours tall whiskey, puts on seat belt**",oh the westworld finale is feature length film cool pours tall whiskey puts on seat belt,Positive,Positive,Positive,Positive,Positive,True
#RickyMartin ft. #Maluma new entry on @user @user w/ #VentePaCa  #latinhits…,rickymartin ft maluma new entry on ventepaca latinhits,Neutral,Neutral,Neutral,Neutral,Neutral,True
@user what biological differences? Do white Democrats and white supremacists have the same biological DNA?,what biological differences do white democrats and white supremacists have the same biological dna,Neutral,Neutral,Neutral,Negative,Negative,False
⚡Dangit wish I had a hamburger and frenchfriesright about now#Yummielicious #NationalFastFoodDay,dangit wish had hamburger and frenchfriesright about nowyummielicious nationalfastfoodday,Positive,Positive,Positive,Positive,Positive,True
Sunday: Football. American football. Dolores Park. Fantastic Beast and Where to Find Them. Ramen. Palace Hotel. Forgot Westworld. 1 a.m.,sunday football american football dolores park fantastic beast and where to find them ramen palace hotel forgot westworld,Neutral,Neutral,Neutral,Neutral,Neutral,True
"Tesla Motors Will Build All Its Cars With Self-Driving Hardware, Says Elon Musk | TIME",tesla motors will build all its cars with self driving hardware says elon musk time,Neutral,Neutral,Neutral,Neutral,Neutral,True
Trying to have a conversation with my dad about vegetarianism is the most pointless infuriating thing ever #caveman,trying to have conversation with my dad about vegetarianism is the most pointless infuriating thing ever caveman,Negative,Positive,Positive,Negative,Negative,True
"""US changes vote on UN resolution against Cuba embargo"" Vote was abstained! Just when I though the 'apology tour"" w…",us changes vote on un resolution against cuba embargo vote was abstained just when though the apology tour,Neutral,Neutral,Neutral,Neutral,Neutral,True
Putin ally warns Russia is heading towards the next CUBAN MISSILE CRISIS and will target its ... - #GoogleAlerts,putin ally warns russia is heading towards the next cuban missile crisis and will target its googlealerts,Neutral,Neutral,Neutral,Neutral,Neutral,True
@user Unlike you I actually take Ephesians 6:12 seriously. You're just a slave to Pope Francis,unlike you actually take ephesians seriously you re just slave to pope francis,Neutral,Neutral,Negative,Neutral,Neutral,True
Leonard Cohen on Kurt Cobain’s Nirvana lyric name-check: ‘I’m sorry I couldn’t have spoken to the young man’,leonard cohen on kurt cobains nirvana lyric name check im sorry couldnt have spoken to the young man,Neutral,Neutral,Neutral,Neutral,Neutral,True
@user I have problems w/my muscles wen I take antidepressants n would like to be able to use medical marijuana for it.,have problems my muscles wen take antidepressants would like to be able to use medical marijuana for it,Neutral,Neutral,Neutral,Neutral,Neutral,True
Comey still must go!,comey still must will,Neutral,Neutral,Negative,Positive,Positive,False
Really like the @user Earth #VR experience #exploration #killerapp #nonfiction,really like the earth vr experience exploration killerapp nonfiction,Positive,Positive,Positive,Positive,Positive,True
"A Battle to Change Medicare Is Brewing, Whether Trump Wants It or Nothttps://t.co/SYFgzYscjy#uniteblue #notmypresident",battle to change medicare is brewing whether trump wants it or not notmypresident,Neutral,Negative,Neutral,Neutral,Neutral,True
Many fires are now being reported as suspected arson attacks. Today IAF assisted the police in apprehending arson s…,many fires are now being reported as suspected arson attacks today iaf assisted the police in apprehending arson,Negative,Negative,Negative,Neutral,Neutral,False
@user Agreed. TPP/Border security/immigration/fair trade/jobs/SC more vital,agreed tpp border security immigration fair trade jobs sc more vital,Neutral,Negative,Neutral,Neutral,Neutral,True
"Inside Expa Labs, #uber co-founder’s take on the #startup accelerator",inside expa labs uber co founders take on the startupaccelerator,Neutral,Neutral,Neutral,Neutral,Neutral,True
@user My President I have my CV ready I know you have 4500 positions to fill - I AM READY #TrumpTransition #trumptransitionteam,my president have my cv ready know you have positions to fill am ready trumptransition trumptransitionteam,Positive,Positive,Positive,Neutral,Neutral,False
How do I get HUD secretary? Ben Carson's reluctant? Why don't you want the homeless to have housing? Do something about it @user,how do get hud secretary ben carson reluctant why has you want the homeless to have housing do something about it,Negative,Neutral,Negative,Negative,Negative,True
John Lewis Won The National Book Award #johnlewis #nbawards,john lewis won the national book award johnlewis nbawards,Neutral,Positive,Positive,Positive,Positive,False
Hillary supporters...... Two 'ZIO Supremacists' have to point out great moments - these CUCKS truly care?,hillary supporters two zio supremacists have to point out great moments these cucks truly care,Negative,Positive,Negative,Negative,Negative,True
if you said have the partime tech job with a 2nd partime job making minimum wage B/c you don't have a degree but you got the hot Asian gf,if you said have the partime tech job with nd partime job making minimum wage you has have degree but you got the hot asian gf,Negative,Neutral,Neutral,Neutral,Neutral,False
Persona 5 – Ann Trailer |,persona ann trailer,Neutral,Neutral,Neutral,Neutral,Neutral,True
Just seen #FantasticBeasts #IMAX it's like #PokemonGO only pretend.,just seen fantasticbeasts imax it like pokemongo only pretend,Neutral,Neutral,Positive,Positive,Positive,False
@user Agreed! I just love when the deplorables are afraid of progress!,agreed just love when the deplorables are afraid of progress,Positive,Positive,Neutral,Positive,Positive,True
#Entertainment #Buzz ZAC EFRON HANDSOME BEEFCAKE HUNK IN UNDERWEAR ON SET REAR CANDID PHOTOGRAPH…,entertainment buzz zac efron handsome beefcake hunk in underwear on set rear candid photograph,Positive,Positive,Neutral,Positive,Positive,True
"“True compassion does not marginalize anyone, nor does it humiliate and exclude...”",true compassion does not marginalize anyone not does it humiliate and exclude,Neutral,Negative,Neutral,Negative,Negative,False
"If these spikes don't make me the next Cy Young, I don't know what will.",if these spikes has let me the next cy young has know what will,Neutral,Neutral,Neutral,Neutral,Neutral,True
Hahahahahah so much of this #westworld season was me screaming expletives at this idiot,hahahahahah so much of this westworld season was me screaming expletives at this idiot,Negative,Positive,Positive,Negative,Negative,True
"The longer this Brexit indecision drags on, could it be more & more people know deep down that the EU referendum result was the wrong one?",the longer this brexit indecision drags on could it be more more people know deep down that the eu referendum result was the wrong one,Negative,Neutral,Negative,Negative,Negative,True
"Electoral college and ""2 Senators per state"" is a system rigged right in the constitution. Driven by demands of sla…",electoral college and senators per state is system rigged right in the constitution driven by demands of sla,Neutral,Neutral,Neutral,Neutral,Neutral,True
OMG !! Best FIFA 17 Goal Ever !!! #fifa17 #psn #goal #fcbarcelona #neymar #FCBlive,omg best fifa goal ever fifa psn goal fcbarcelona neymar fcblive,Positive,Positive,Positive,Positive,Positive,True
"When I'm in public and pull a pair of underwear out of my sweatshirt sleeve, I can't help but feel like David Blaine. #magic #static",when in public and pull pair of underwear out of my sweatshirt sleeve can help but feel like david blaine magic static,Positive,Negative,Positive,Positive,Positive,True
"Allepo, Syria #ThankYouObama #ThankYouHillary  installing #Democracy 70% loading... Please Wait",allepo syria thankyouobama thankyouhillary installing democracy loading please wait,Neutral,Positive,Neutral,Negative,Negative,False
No one's disputing the impact of the Comey letter & coverage. But the voting irregularities are stark. Audit needed!,not one disputing the impact of the comey letter coverage but the voting irregularities are stark audit needed,Negative,Neutral,Neutral,Neutral,Neutral,False
@user @user Hellllllll ya I would if it had Zac Efron in it ❤️,hellllllll ya would if it had zac efron in it,Positive,Neutral,Neutral,Positive,Positive,True
I need a back massage,need back massage,Neutral,Neutral,Neutral,Neutral,Neutral,True
#ThankYouObama you deserve it sir,thankyouobama you deserve it sir,Positive,Positive,Positive,Positive,Positive,True
"Everyone Google STEVE BANNON and shock, it time lookin out to share a lady today means so much to Date at the stage America.",everyone google steve bannon and shock it time lookin out to share lady today means so much to date at the stage america,Neutral,Positive,Positive,Neutral,Neutral,True
@user  Happy Thanksgiving Donald & Melania - the Salt Lake City speech v. Mitt Romney and also on Carrier,happy thanksgiving donald melania the salt lake city speech mitt romney and also on carrier,Positive,Neutral,Positive,Positive,Positive,True
Welcome,welcome,Positive,Positive,Positive,Positive,Positive,True
just heard the go cubs go song 4 the 1st time & it sounds like a song that would play @ the end of a musical when the cast comes on stage,just heard the will cubs will song the st time it sounds like song that would play the end of musical when the cast comes on stage,Positive,Neutral,Neutral,Neutral,Neutral,False
@user you've deleted your tweet praising Marine Le Pen. I'm guessing you didn't really know what she was about before endorsing her.,you ve deleted your tweet praising marine le pen guessing you didn really know what she was about before endorsing her,Negative,Neutral,Neutral,Neutral,Neutral,False
"@user @user Thing with Rightists is once done, completely done.",thing with rightists is once done completely done,Neutral,Negative,Negative,Neutral,Neutral,True
"Georgia lawmaker proposes hijab ban, then withdraws after backlash... #NationalFastFoodDay",georgia lawmaker proposes hijab ban then withdraws after backlash nationalfastfoodday,Neutral,Neutral,Neutral,Neutral,Neutral,True
Shalom Rimma @user As these terrorist rats #Hamas will have to pay dearly,shalom rimma as these terrorist rats hamas will have to pay dearly,Negative,Negative,Negative,Negative,Negative,True
@user  @user @user @user  You guys. 👏🏽  👏🏽  👏🏽  👏🏽  👏🏽 (that a slow clap emoji style) #Westworld,you guys that slow clap emoji style westworld,Neutral,Neutral,Neutral,Neutral,Neutral,True
DD News: Cubans bid tearful adieu to Fidel Castro | #NewsInVids,dd news cubans bid tearful adieu to fidel castro newsinvids,Neutral,Neutral,Neutral,Neutral,Neutral,True
So true. #DrainTheSwamp & start with #NeverRomney. @user,so true draintheswamp start with neverromney,Neutral,Negative,Neutral,Neutral,Neutral,True
@user YOU BROKE THE US TRADE EMBARGO WITH CUBA AND BRAGGED ABOUT IT?!!! What is wrong with you? #trumpthecrook,you broke the us trade embargo with cuba and bragged about it what is wrong with you trumpthecrook,Negative,Negative,Negative,Negative,Negative,True
Republic form of Govt is fairest system:Goal of #SorosRiots – Eliminate Electoral College & Constitution Part (2of2),republic form of government is fairest system goal of sorosriots eliminate electoral college constitution part of,Neutral,Negative,Negative,Neutral,Neutral,True
Leonard Cohen. 12 x 9 inch graphite pencil commission. #JunePiety #HelicStudio #art #portrait #pencil #Strathmore…,leonard cohen inch graphite pencil commission junepiety helicstudio art portrait pencil strathmore,Neutral,Neutral,Neutral,Neutral,Neutral,True
Conservatives Get The Last Laugh At  Liberal Jokesters In Denial That These Are Their Best Days & ThingsAre Only G…,conservatives get the last laugh at liberal jokesters in denial that these are their best days thingsare only,Negative,Negative,Negative,Negative,Negative,True
Lol Justin verlander on the drums for lions halftime show,lol justin verlander on the drums for lions halftime show,Positive,Neutral,Neutral,Neutral,Neutral,False
White supremacists already on CNN but otherwise excellent point.,white supremacists already on cnn but otherwise excellent point,Neutral,Neutral,Positive,Neutral,Neutral,True
"@user at least wait untill the end for your #GilmoreGirlsTop4 . Mine are Luke, Paul Anka, Suki and Babette. #TeamJess  all the way",at least wait untill the end for your gilmoregirlstop mine are luke paul anka suki and babette teamjess all the way,Positive,Positive,Positive,Positive,Positive,True
"MUHAMMAD ALI 1942-2016 - NY Post - Saturday JUNE 4, 2016 -.. #rt2gain #teamfollowback #followback #f4f",muhammad ali ny post saturday june gain teamfollowback followback,Neutral,Neutral,Neutral,Neutral,Neutral,True
The Kelly File 11 25 16 Trump Transition Team Member On Cabinet Selections: qua @user,the kelly file trump transition team member on cabinet selections qua,Neutral,Neutral,Neutral,Neutral,Neutral,True
Infographic: Comparison between Messi and Michael Jordan #fcblive [sport],infographic comparison between messi and michael jordan fcblive sport,Neutral,Neutral,Neutral,Neutral,Neutral,True
Minimum wage law still not cutting it for garment workers: @user report | #Myanmar,minimum wage law still not cutting it for garment workers report myanmar,Neutral,Negative,Negative,Neutral,Neutral,True
Going to watch #FantasticBeasts tomorrow! \o/@jk_rowling,going to watch fantasticbeasts tomorrow,Positive,Positive,Positive,Positive,Positive,True
@user @user full of herself? I mean it is a book about her life. Everything that happened w her in last year was newsworthy,full of herself mean it is book about her life everything that happened her in last year was newsworthy,Negative,Positive,Negative,Negative,Negative,True
I want to talk shit poetically like Muhammad Ali did. That shit is lit.,want to talk shit poetically like muhammad ali did that shit is lit,Neutral,Negative,Negative,Neutral,Neutral,True
@user @user @user @user @user Jill did 0 with RTs re.WKLS on Hillary TPP lie..fears Trump,jill did with rts re wkls on hillary tpp lie fears trump,Negative,Neutral,Negative,Negative,Negative,True
WE trust Sarah-need her in Trump cabinet->Sarah Palin Defends Breitbart Against 'the Wrath of the Whiners',we trust sarah need her in trump cabinet sarah palin defends breitbart against the wrath of the whiners,Neutral,Neutral,Negative,Negative,Negative,False
Nice! @user joins @user as Platinum member by @user in @user,nice joins as platinum member by in,Positive,Neutral,Positive,Positive,Positive,True
Hillary won the popular vote by over 3 million votes... But people still ask me why I'm not even registered to vote... Cause it don't matter,hillary won the popular vote by over million votes but people still ask me why not even registered to vote cause it has matter,Negative,Negative,Negative,Negative,Negative,True
CA has way too many imbeciles - via @user,ca has way too many imbeciles via,Negative,Neutral,Negative,Negative,Negative,True
PLEASE FUCK ME HARD BY RICKY MARTIN,please fuck me hard by ricky martin,Negative,Positive,Negative,Negative,Negative,True
"@user @user no, #Israel and #Egypt keeping #Hamas out doesn't exclude anyone from #Gaza from travel elsewhere.",not israel and egypt keeping hamas out doesn exclude anyone from gaza from travel elsewhere,Neutral,Neutral,Neutral,Positive,Positive,False
Thank you Michael Crichton & @user @user may very well be the best thing I've ever watched. Sorry @user #Westworld #HBO,thank you michael crichton may very well be the best thing ve ever watched sorry westworld hbo,Positive,Positive,Positive,Positive,Positive,True
8 Romantic Lesbian Movies To Get You In The Mood For Love -,romantic lesbian movies to get you in the mood for love,Positive,Positive,Positive,Positive,Positive,True
The @user just bought @user a training program built for the @user football club. 🇦🇺…,the just bought training program built for the football club,Neutral,Neutral,Neutral,Neutral,Neutral,True
Dakota Access Pipeline Protestor Sophia Wilansky Injured By Protestors Homemade Bombshttps://t.co/3NkcojStXW via @user,dakota access pipeline protestor sophia wilansky injured by protestors homemade bombs via,Negative,Neutral,Neutral,Negative,Negative,True
there are many ways to not use fossil fuels & still strive in this economy but people are too money hungry so let's…,there are many ways to not use fossil fuels still strive in this economy but people are too money hungry so let,Neutral,Negative,Negative,Neutral,Neutral,True
"@user @user Stay at his hotel in DC.....and maybe you get a special meeting.   Hmmmmm, sounds like Clinton Foundation?",stay at his hotel in dc and maybe you get special meeting hmmmmm sounds like clinton foundation,Negative,Negative,Neutral,Negative,Negative,True
Check out our newly listed Get your 3D Print... Dont miss out! #3dprinting,check out our newly listed get your print dont miss out dprinting,Neutral,Positive,Positive,Neutral,Neutral,True
@user @user How long before voters realize they've been taking. OT pay taken away this week next up SS Medicare tax cuts,how long before voters realize they ve been taking ot pay taken away this week next up ss medicare tax cuts,Negative,Neutral,Negative,Negative,Negative,True
School in Hogwarts probably 😇 #HARRYPOTTER #FantasticBeasts 💜,school in hogwarts probably harrypotter fantasticbeasts,Positive,Neutral,Positive,Positive,Positive,True
America get ready....unfiltered is the new gold standard in talk. #thepew,america get ready unfiltered is the new gold standard in talk thepew,Neutral,Neutral,Neutral,Neutral,Neutral,True
@user @user @user too bad the obama admin said this yesterday,too bad the obama admin said this yesterday,Negative,Neutral,Negative,Negative,Negative,True
Syrian army advances on Aleppo airport,syrian army advances on aleppo airport,Neutral,Neutral,Neutral,Neutral,Neutral,True
[Tom Tango] Cy Young voting point system is 7-4-3-2-1: can we do better?,tom tango cy young voting point system is can we do better,Negative,Neutral,Neutral,Neutral,Neutral,False
"@user @user It is wall to wall ""How to stop Trump,"" ""Trump's  racist,"" Cabinet is ""hellish,"" etc... pro-Russian? Absurd on face",it is wall to wall how to stop trump trump racist cabinet is hellish etc pro russian absurd on face,Negative,Negative,Negative,Negative,Negative,True
Steve Bannon is not afraid to talk openly about governing our country for the next 50 yearshttps://t.co/GVP2Iv9SoO,steve bannon is not afraid to talk openly about governing our country for the next years,Neutral,Positive,Negative,Neutral,Neutral,True
"@user is who I'm thankful for, saving the @user from eternal darkness. #Thanksgiving #takenote",is who thankful for saving the from eternal darkness thanksgiving takenote,Positive,Positive,Positive,Positive,Positive,True
if Persona 5 is already out and ready in Japan why can't we have it nowpleasemy crops are dying,if persona is already out and ready in japan why can we have it nowpleasemy crops are dying,Neutral,Neutral,Positive,Negative,Negative,False
@user (humor) if there's #HeatedBattle in #TrumpTransitionTeam tell them to #TurnOnTheAC afterall they are in #FL #MakeMyComedyFunnyAgain,humor if there heatedbattle in trumptransitionteam tell them to turnontheac afterall they are in fl makemycomedyfunnyagain,Neutral,Neutral,Neutral,Negative,Negative,False
Economic crisis in Europe. U.S. establishes gold standard (1873). #HIST125MWF,economic crisis in europe establishes gold standard hist mwf,Neutral,Neutral,Neutral,Negative,Negative,False
"Ashley Graham, Tami Roman + More Reveal Which Diva They're Most Excited To See",ashley graham tami roman more reveal which diva they re most excited to see,Positive,Positive,Positive,Positive,Positive,True
i swear conservatives get stupider and stupider every day.,swear conservatives get stupider and stupider every day,Negative,Positive,Negative,Negative,Negative,True
@user I am ALSO aware of that. I am a LAFO too. Gun control is immoral.,am also aware of that am lafo too gun control is immoral,Negative,Neutral,Negative,Negative,Negative,True
@user Are they going to boycott Cubs if Ricketts appointed to Trump cabinet?,are they going to boycott cubs if ricketts appointed to trump cabinet,Neutral,Neutral,Neutral,Neutral,Neutral,True
THANK GOD Donald J. Trump didn't appoint Dr. Ben Carson to Surgeon General!,thank god donald trump didn appoint dr ben carson to surgeon general,Positive,Negative,Negative,Positive,Positive,True
"A Cold War-era conservative would have put up with this.But then again, those kinds of conservatives aren't runni…",cold war era conservative would have put up with this but then again those kinds of conservatives aren runni,Neutral,Neutral,Negative,Negative,Negative,False
#Hatchimals @user must be so proud of yourself.Way to prove Americans are so great.Legally robbing from the less fortunate children.,hatchimals must be so proud of yourself way to prove americans are so great legally robbing from the less fortunate children,Negative,Negative,Positive,Negative,Negative,True
@user call them what they really are: white supremacists.,call them what they really are white supremacists,Negative,Negative,Negative,Negative,Negative,True
@user The make-up free=fresh face look- so damn attractive. #StillWithHer She continues 2be a great role model. #Clinton2016 #MyPresident,the let up free fresh face look so damn attractive stillwithher she continues be great role model clinton mypresident,Positive,Positive,Positive,Positive,Positive,True
"Medical marijuana patients could save money in Prop 64 tax dispute, but state could lose",medical marijuana patients could save money in prop tax dispute but state could lose,Neutral,Neutral,Negative,Negative,Negative,False
"UK govt failing to learn Libya lessons, say MPshttps://t.co/xmvjLohokI#Libya #News",uk government failing to learn libya lessons say mps news,Neutral,Neutral,Negative,Negative,Negative,False
@user Get lost you crooks. Your plan to bring #Burundi where you brought #Libya #Rwanda94 was defeated. Find your next victim elsewhere,get lost you crooks your plan to bring burundi where you brought libya rwanda was defeated find your next victim elsewhere,Negative,Neutral,Negative,Negative,Negative,True
😂😂WHEN I SAY WE TRIED 20 DAM TIMES!! STANDING STILL IS HARD AF😂😂 #mannequinchallenge…,when say we tried dam times standing still is hard af mannequinchallenge,Positive,Negative,Positive,Negative,Negative,False
"@user Sadly, this is how Steve Bannon sees all Jews.",sadly this is how steve bannon sees all jews,Negative,Negative,Negative,Negative,Negative,True
@user @user @user Obviously means nothing since it hasn't stopped Soros from funding anti-Trump protests/riots.,obviously means nothing since it hasn stopped soros from funding anti trump protests riots,Negative,Negative,Negative,Negative,Negative,True
@user get on a roll and keep winning,get on roll and keep winning,Positive,Positive,Neutral,Neutral,Neutral,False
$15 Minimum Wage Would Boost Economy & Create Jobs,minimum wage would boost economy create jobs,Neutral,Neutral,Neutral,Neutral,Neutral,True
"Illicit drug sales through social media growing, security expert says",illicit drug sales through social media growing security expertsays,Neutral,Neutral,Neutral,Neutral,Neutral,True
#NowPlaying Leonard Cohen - Joan Of Arc (live),nowplaying leonard cohen joan of arc live,Positive,Neutral,Neutral,Positive,Positive,True
Ashley Graham Ain’t Shy No More!,ashley graham aint shy not more,Neutral,Neutral,Neutral,Neutral,Neutral,True
Anyway the way OR rolled out its OHP access in '08 is a good antecedent to Medicaid expansion in the ACA,anyway the way or rolled out its ohp access in is good antecedent to medicaid expansion in the aca,Positive,Positive,Positive,Positive,Positive,True
"Everyone Google STEVE BANNON and shock, it means so much, I understood I wish it was illegal to my heart w",everyone google steve bannon and shock it means so much understood wish it was illegal to my heart,Positive,Positive,Negative,Neutral,Neutral,False
@user Neural Net Shows Deep Learning Can Get Way Deeper #business #machinelearning,neural net shows deep learning can get way deeper business machinelearning,Positive,Neutral,Neutral,Positive,Positive,True
@user Lmao. Nothing new about Pelosi. SHE became a millionaire while working as Elected for US? How's that happen w/ $173K salary?,lmao nothing new about pelosi she became millionaire while working as elected for us how that happen salary,Neutral,Negative,Negative,Neutral,Neutral,True
Programming robots with blocks – Hacker Noon via @user,programming robots with blocks hacker noon via,Neutral,Neutral,Neutral,Neutral,Neutral,True
No one said a word when Speaker Pelosi flew from Ca. to DC 3x/week on a pvt jet at a cost to taxpayers of $60K per flight or $5.7M per year,not one said word when speaker pelosi flew from ca to dc week on pvt jet at cost to taxpayers of per flight or per year,Negative,Neutral,Negative,Neutral,Neutral,False
@user @user not true for all only new rightists,not true for all only new rightists,Neutral,Negative,Neutral,Neutral,Neutral,True
@user @user @user SD selling weapons to countries that that donated to the Clinton Foundation? #CORRUPTION,sd selling weapons to countries that that donated to the clinton foundation corruption,Negative,Negative,Negative,Negative,Negative,True
@user @user @user @user Maybe most white supremacists like to use fancy labels. So racism in denial?,maybe most white supremacists like to use fancy labels so racism in denial,Negative,Negative,Negative,Negative,Negative,True
"#SeaPorDIos Porque como dijo el Premio Nobel:Bob Dylan:""how many years can some people existbefore they're...",seapordios porque como dijo el premio nobel bob dylan how many years can some people existbefore they re,Neutral,Neutral,Negative,Neutral,Neutral,True
and I'll be making 160k as a corporate lawyer while ur still living in a crummy town making minimum wage 😊,and ll be making as corporate lawyer while ur still living in crummy town making minimum wage,Negative,Neutral,Negative,Negative,Negative,True
Why it's time for a rethink on flu vaccination #Immune System - Vaccines @user,why it time for rethink on flu vaccination immune system vaccines,Neutral,Neutral,Neutral,Neutral,Neutral,True
Cuba in Mourning: See Photos from Castro's Historic Funeral via @user,cuba in mourning see photos from castro historic funeral via,Neutral,Neutral,Neutral,Neutral,Neutral,True
The world we live...😢 #palestine #arabs #muslims #turkey #saudiarabia #bbc #cnn #aljazeera…,the world we live palestine arabs muslims turkey saudiarabia bbc cnn aljazeera,Negative,Neutral,Neutral,Negative,Negative,True
Gay men massage chicago marriage in the old testament Nathan Hope And,gay men massage chicago marriage in the old testament nathan hope and,Neutral,Neutral,Neutral,Neutral,Neutral,True
